にんげん,human 
ハエ,housefly 
カ,"mosquito, gnat "
ゴキブリ,cockroach 
カタツムリ,snail 
ナメクジ,slug 
ミミズ,earthworm 
かい,shellfish 
かいがら,shell 
トカゲ,lizard 
へび,snake 
くま,bear
しょくぶつ,plants 
くさ,grass 
はな,flower 
み,fruit 
き,tree 
は / はっぱ,leaf 
ね / ねっこ,root 
くき,stem 
きのこ,mushroom 
きく,chrysanthemum 
さくら,cherry blossom 
まつ,pine tree 
うめ,japanese plum or apricot 
こめ,uncooked rice 
いね,rice growing in a field 
むぎ,"wheat, barley, oats "
やさい,vegetable 
くだもの,fruit for eating 
いも,"yam, potato, taro "
まめ,"beans, peas "
だいこん,Japanese white radish 
にんじん,carrot 
リンゴ,apple 
ミカン,mandarin orange 
バナナ / かんしょう,banana 
ナシ,pear 
クリ,chestnut tree 
モモ,peach 
トマト / ばんか,tomato 
スイカ,watermelon 
たべもの,food 
ちょうしょく,breakfast 
ひるごはん,lunch 
ばんごはん,dinner 
ごはん,cooked rice or meal 
みそ,miso 
りょうり,cooking 
サラダ,salad 
デザート,dessert 
パン,bread 
サンドイッチ,sandwich 
おやつ,snack 
アイスクリーム,ice cream 
たこやき,octopus dumpling 
のみもの,drink / beverage 
ちゃ,tea 
おちゃ,green tea 
コーヒー,coffee 
ぎゅうにゅう,milk 
みず,water 
ビール,beer 
ワイン,wine 
さとう,sugar 
しお,salt 
しょうゆ,soy sauce 
じかん,time 
とき / じ,~hours 
こよみ / カレンダー,calendar 
ふん,minute 
びょう,second 
ひ / にち,day 
つき / がつ,month 
とし / ねん,year 
きのう / さくじつ,yesterday 
きょう,today 
あした / あす / みょうにち,tomorrow 
あさ,morning 
ひる,afternoon 
ゆうがた,evening 
ばん,evening 
よる,"evening, night "
ようび,~day 
しゅう,week 
いっしゅうかん,one week 
にちようび,Sunday 
げつようび,Monday 
かようび,Tuesday 
すいようび,Wednesday 
もくようび,Thursday 
きんようび,Friday 
どようび,Saturday 
たいよう,sun 
つき,moon 
ほし,star 
てんき,weather 
はれ,clear weather 
あめ,rain 
くもり,cloudy 
ゆき,snow 
かぜ,wind 
かみなり,"thunder, lightning "
たいふう,typhoon 
あらし,storm 
そら,sky 
きた,north 
ひがし,east 
みなみ,south 
にし,west 
ここ,here 
そこ,there 
あそこ,over there 
みぎ,right 
ひだり,left 
うえ,"above, up "
した,"below, down "
まえ,front 
うしろ,behind 
むこう,"the other side, opposite side "
ななめ,diagonal 
てまえ,"nearer, more in front "
とおい,far 
ちかい,"near, close "
みず,water 
ゆ,hot water 
こおり,ice 
ゆげ,steam 
ひ,fire 
ガス,gas 
くうき,"air, atmosphere "
つち,"earth, ground "
きんぞく,"metal, metallic "
どろ,"mud, mire, clay, plaster "
けむり,"smoke, tobacco, opium "
てつ,iron [Fe] 
どう,copper [Cu] 
きん,gold [Au]; money 
ぎん,silver [Ag]; wealth 
なまり,lead [Pb] 
しお,salt [NaCl] 
メートル,meter 
リットル,litre 
グラム,gram 
キロ,kilo- 
ミリ,milli- 
センチメートル / センチ,centimeter 
インチ,inch 
しゃかい,society 
けいざい,"economy, economics "
かいしゃ,company 
かいぎ,meeting 
がっこう,school 
やくしょ,local government office 
みせ,store 
ホテル,hotel 
こうじょう,factory 
かね,money 
さつ,"bill [of money, e.g., a thousand-yen bill] "
こぜに,small change 
つりせん / おつり,change 
じどうはんばいき,"vending machine, slot machine "
きっぷ,ticket / public transport / fine 
きって,stamp 
つくえ,desk 
いす,"chair, position "
たたみ,a tatami mat 
と,"door, family "
とびら,door panel 
ドア,door 
まど,window 
ふとん,futon 
げんかん,entrance 
いえ,"house, home "
エレベーター,elevator 
エスカレーター,escalator 
でんき,electricity 
くぎ,"nail, spike "
ひも,"string, cord "
なわ,"rope, string "
ふくろ,"pocket, bag "
かばん,leather bag 
かさ,"umbrella, parasol "
かぎ,"door bolt, key "
ちょうこく,"sculpture, engraving "
ぶんぼうぐ,stationery ​
インク,ink 
ペン,pen 
ボールペン,ball-point pen 
まんねんひつ,fountain pen 
えんぴつ,pencil 
ふで,brush for writing or painting 
チョーク,chalk 
けしゴム,eraser 
えんぴつけずり,pencil sharpener 
じょうぎ,ruler 
ノート,notebook 
にっき,diary 
カバー,book cover 
ふうとう,envelope 
はさみ,scissors 
ホッチキス,stapler 
ふく,clothes 
ようふく,western clothing 
きもの,kimono 
わふく,Japanese clothing 
そで,sleeve 
えり,"lapel, collar "
ボタン,button 
チャック / ファスナー / ジッパー,"zipper, zipper fastener "
ベルト,belt 
くつ,shoe 
くつした,sock 
めがね,glasses 
てつどう,railway 
えき,station 
ひこうき,airplane 
くうこう / ひこうじょう,airport 
みち,"street, way, road "
どうろ,road 
バスてい,bus-stop 
とおり,avenue 
でんしゃ,train 
くるま / じどうしゃ,car 
じてんしゃ,bicycle 
もじ,"letter, character, script "
じ,"a letter, character "
かんじ,Chinese character 
ひらがな,hiragana syllabary characters 
カタカナ,katakana syllabary characters 
すうじ,numbers 
アルファベット,alphabet 
ローマ字,"Roman characters, Latin script "
がいこくご,foreign language 
にほんご / こくご,Japanese [language] 
えいご,English [language] 
ちゅうごくご,Chinese [language] 
どいつご,German [language] 
すぺいんご,Spanish [language] 
ふらんすご,French [language] 
ちょうせんご / かんこくご,"Korean [language], South Korean [language] "
ほん,book 
かみ,paper 
てがみ,letter 
しんぶん,newspaper 
じしょ,dictionary 
パソコン,personal computer 
いろ,color 
あか,red 
きいろ,yellow 
みどり,green 
あお,blue 
むらさき,purple 
しろ,white 
くろ,black 
ピンク,pink 
ちゃいろ,brown 
はいいろ / ねずみいろ,grey 
オレンジ,orange 
え,picture 
おんがく,music 
りか,science 
さんすう,arithmetic 
れきし,history 
ちり,geography 
たいいく,physical education 
スポーツ,sport 
システム,system 
じょうほう,"information, news "
ひつよう,necessity 
べんきょう,study 
いらい,request 
れい,zero 
いち,one 
に,two 
さん,three 
よん /し,four 
ご,five 
ろく,six 
なな /しち,seven 
はち,eight 
きゅう /く,nine 
じゅう,ten 
ひゃく,hundred 
せん,thousand 
まん,ten thousand 
おく,one hundred million 
ひとつ,"one, one thing "
ふたつ,"two, two things "
みっつ,"three, three things "
よっつ,"four, four things "
いつつ,"five, five things "
むっつ,"six, six things "
ななつ,"seven, seven things "
やっつ,"eight, eight things "
ここのつ,"nine, nine things "
とお,"ten, ten things "
これ,"this, it "
それ,that 
あれ,that over there 
どれ,which 
こちら/こっち,"this direction, thing, person, or place "
そちら/そっち,"that direction, thing, person, or place "
あちら/あっち,"that direction, thing, person, or place over there "
どちら/どっち,"which direction, thing, person, or place "
ひみつ,secret 
じどう,automatic 
ないよう,content 
はば,"width, breadth, free room, difference between two substances "
せいしき,formality 
けっこん,marriage 
げんざい,now 
いま,now 
かこ,past 
みらい,future 
いい / よい,good 
すごい,amazing 
すばらしい,wonderful 
わるい,"bad, inferior "
たかい,"expensive, high "
ひくい,low 
やすい,cheap 
おおきい,big 
ちいさい,small 
ほそい,thin 
ふとい,thick 
ふるい,old 
あたらしい,new 
わかい,young 
かるい,"light, easy "
おもい,heavy 
やさしい,"easy, simple "
むずかしい,difficult 
やわらかい,soft 
かたい,hard 
あつい,hot 
つめたい,cold 
さむい,cold 
おいしい,delicious 
うまい,"delicious, appetizing "
まずい,tastes awful 
あまい,sweet 
からい,hot [spicy] 
しょっぱい,salty 
にがい,bitter 
うつくしい,beautiful 
うれしい,happy 
たのしい,fun 
かなしい,sad 
さびしい,lonely 
さみしい,"sad, lonely "
こわい,scary 
いたい,painful 
かゆい,itchy 
くさい,stinky 
つらい,"painful, heart-breaking "
する,to do 
やる,to do 
いる,to exist [for animate objects] 
ある,to exist [for inanimate objects] 
なる,to become 
おこる,to occur 
あらわれる,to appear 
いきる,to live 
うむ,to give birth 
しぬ,to die 
こわれる,to breakin 
いく,to go 
くる,to come 
かえる,to return 
あるく,to walk 
とぶ,"to jump, to fly "
およぐ,to swim 
うごく,to movein 
おどる,to dance 
ねる,to sleep 
うたう,to sing 
かむ,to bite 
たべる,to eat 
のむ,to drink 
さわる,to touch 
なげる,to throw 
もつ,to hold 
うつ,"to hit, to strike "
なぐる,"to hit, to strike "
さす,to point 
さす,to stab 
さす,to raise or extend one's hands 
ける,to kick 
すわる,to sit 
たつ,to stand 
はしる,to run 
あく,to become unoccupied 
こむ,to be crowded 
いる,to need 
かわく,to become dry 
みだす,"to disturb, to disarrange "
みだれる,"to be disturbed, to become confused "
つかえる,"to serve, to work for "
そなわる,to be furnished with 
すぐれる,"to excel, to surpass "
ひえる,"to grow cold, to get chilly, to cool down "
さめる,"to wake, to become sober, to be disillusioned "
さめる,to cool down 
むく,"to face, to turn toward "
たおれる,"to fall, to collapse "
かたまる,"to harden, to solidify, to become firm "
うまる,"to be filled, to be surrounded, to overflow "
うもれる,"to be buried, to be covered "
ます,"to increase, to grow "
ふえる,"to increase, to multiply "
へる,to decrease 
はずれる,to deviate 
ふとる,to grow fat 
はじまる,to begin 
おわる,"to finish, to close "
きめる,to decide 
みる,to see 
きく,"to hear, to listen "
さわる,"to touch, to feel "
かぐ,to smell 
いう,to say 
はなす,to speak 
かたる,to tell 
かく,to write 
よむ,to read 
つかう,to use 
つくる,to make 
なおす,"to fix, repair "
すてる,"to discard, throw away "
とる,to take 
おく,to put 
かなしむ,to be sad 
なく,to cry 
わらう,to laugh 
おこる,to be angry 
ほめる,to encourage 
しかる,to scold 
よろこぶ,"to celebrate, to be jubilant, to have joy, to have delight, to have rapture "
よろこび,"joy, delight, rapture "
なぐさめる,"to console, to consolate, to provide empathy "
あきる,"to be disinterested, to be bored, to be tired of, to be weary "
おどろく,"to be astonished, to be surprised, to be scared "
あう,"to meet, to interview "
あける,"to opentr, to unwraptr "
あそぶ,to play 
あつまる,to gatherin 
うる,to sell 
える,to obtain [some benefit or knowledge] 
おる,"to breaktr, to foldtr "
かう,to buy 
きる,to cut 
きる,to wear [on the upper body] 
はく,to wear [on the lower body] 
かえる,to changetr 
かえる,"to exchange, to substitute, to replace "
しめる,to closetr 
しめる,"to tie, to fasten "
しめる,"to comprise, to account for "
しる,to know 
つかれる,to get tired 
でかける,"to go out, to depart "
はたらく,"to work [e.g., at a job] "
はなす,to let go of 
やすむ,"to rest, to take a break, to go to bed "
わかれる,"to split intoin, to be divided "
わかれる,"to partin, to separatein, to break upin "
もう,already 
まだ,"still, yet "
ずっと,always 
とても,very 
こう,like this 
そう,like that 
ああ,in that other way 
どう,how 
しばしば,often 
この,this 
その,that 
あの,that 
どの,which 
はい,yes 
いいえ,no 
でも,but 
しかし,"but, however "
そして,"and then, Then… "
それに,besides 
なぜなら,"that is because, being because "
う / よう,"volitional ending [う for u-verbs, よう for ru-verbs]: [Let's… or I will] "
せる / させる,"causative ending [せる for u-verbs, させる for ru-verbs]: to make [someone do something], to allow "
れる / られる,"passive verb ending [れる for u-verbs, られる for ru-verbs]: to be <verbed> [e.g., 食べられる, to be eaten] "
そうだ,"indicates that it seems the verb occurs [e.g., It seems he ate] "
た,informal past-tense 
たい,indicates desire to perform verb 
だろう,indicates that it seems the verb occurs; also used to ask whether the verb occurs 
ない / ん,informal negative 
ぬ,"archaic informal negative [he hath,thou didst, etc.] "
ます,formal non-past ending 
が,"subject marker, but "
で,"at, by "
と,"and, with "
に,indirect object marker 
の,"possession marker, of "
へ,to 
まで,to 
から,from 
より,than 
を,direct object marker 
および,and; as well as 
か,whether 
かも,"might be, possible that "
そして,and then 
それとも,or 
だの,"things like <list of things>, including, such things as "
つつ,ongoing occurrence 
と,"when, if, that "
ながら,"while, though, both "
ならびに,as well as 
なり,whether or not 
に,"to <somewhere>, by <someone> "
の,possession 
ので,so 
また / 又,"also, again "
または / 又は,or alternatively 
も,"also, too "
や,and 
ね,"emphasis and question marker, equivalent to right? "
か,question marker 
な,the copula particle used after quasi-adjectives 
かしら,I wonder 
さ,-ness 
っけ,particle indicating that the speaker is trying to recall some information [What class was next] 
こそ,emphasis 
さえ,even 
しか,only 
すら,even 
くらい / ぐらい,"approximately, about "
だけ,"only, as much as "
だって,however 
ったら,casual topic marker 
って,said that 
でも,"also, or "
どころ,particle used to indicate that what precedes it is an extreme example and strongly negates it 
など,for example 
なら,if [for verbs]; subject marker [for nouns] 
なんか,"casual undervalue, dislike, lack "
なんて,"casual undervalue, dislike, lack "
は,topic marker 
ばかり / ばっかり,"just, full of, only "
まで,until 
も,"too, also "
